,NRHR_areas,RHR_areas,NRLR_areas,RLR_areas,NRHR_GHG,RHR_GHG,NRLR_GHG,RLR_GHG
179,1033369.0,429679.0,461824.0,195556.0,3.092687715,1.030896794,1.335295178,0.458752947
180,359951.0,557729.0,170013.0,117913.0,1.076387493,1.337487346,0.491367924,0.276217803
181,709552.0,526411.0,248250.0,161747.0,2.125268109,1.26092549,0.717426711,0.379530826
182,1327278.0,535727.0,422272.0,95732.0,3.971284119,1.284226348,1.220747324,0.224405262
183,2744378.0,480839.0,295392.0,131337.0,8.198680854,1.153357378,0.854110689,0.308149969
184,1796662.0,485267.0,372697.0,78135.0,5.371197153,1.163627092,1.077153932,0.183099428
185,1038528.0,591197.0,105669.0,98742.0,3.101861964,1.416785776,0.305367372,0.231421549
186,1015015.0,502209.0,264329.0,97211.0,3.034257294,1.20415074,0.763776607,0.228003698
187,1553110.0,499525.0,143228.0,79239.0,4.643576289,1.197355811,0.414021952,0.185868691
188,1193338.0,426600.0,278818.0,136814.0,3.563763555,1.023635184,0.806225282,0.320970646
189,1423598.0,512410.0,208663.0,78380.0,4.256572479,1.228174772,0.603278411,0.183387143
190,1878953.0,517775.0,212008.0,52705.0,5.611308999,1.241027881,0.612825716,0.123633575
191,1864161.0,489810.0,324322.0,99918.0,5.567974941,1.174554843,0.937858412,0.234326391
192,1132170.0,578966.0,228729.0,107991.0,3.382224411,1.387525597,0.660971385,0.253101934
193,2268455.0,534033.0,360901.0,127736.0,6.773884131,1.280360424,1.042347431,0.299017005
194,1127949.0,511254.0,297097.0,83426.0,3.374289561,1.225853064,0.858725012,0.195422105
195,947168.0,574685.0,147165.0,73500.0,2.827093917,1.377886711,0.42495804,0.172075367
196,431980.0,504480.0,173037.0,201518.0,1.291458813,1.210575228,0.502053738,0.475238492
197,360695.0,357455.0,288734.0,340656.0,1.082582937,0.858919528,0.836724622,0.803169934
198,314551.0,390546.0,157803.0,315490.0,0.940281162,0.937878174,0.457067505,0.743861821
